"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","INSPEC Controlled Terms","INSPEC Non-Controlled Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Knowledge Sharing Model in Collaborative Product Design Based on Role-Based Access Control and Ontology","H. Xu","Sch. of Manage., Henan Univ. of Technol., Zhengzhou, China","2010 2nd International Conference on E-business and Information System Security","27 May 2010","2010","","","1","5","Based on how to construct the work environment of collaborative product design under manufacturing supply chain, three elements including task, department and role were introduced into collaborative model, which were consisted of the TD-RBAC model and jointly decided the authorization that subject could access to the object. Further, the authorization strategy and control strategy of TD-RBAC model was analyzed, which solved the access control problem faced with suppliers, customers and internal users of core enterprise under the environment of collaborative product design, and also achieved the access control in organizational levels among the members of collaborative product design. On this basis, the ontology was introduced to construct the knowledge concept hierarchy to achieve the knowledge-based access control management. Combining the four levels of knowledge concept hierarchy with TD-RBAC model, the knowledge sharing model in collaborative product design was established using UML.","2161-5977","978-1-4244-5895-0","10.1109/EBISS.2010.5473615","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5473615","","Collaboration;Product design;Access control;Ontologies;Collaborative work;Authorization;Virtual manufacturing;Supply chains;Knowledge management;Unified modeling language","authorisation;deductive databases;groupware;manufacturing processes;ontologies (artificial intelligence);product design;supply chain management;Unified Modeling Language","knowledge sharing model;collaborative product design;role based access control;ontology;manufacturing supply chain;TD-RBAC model;authorization strategy;control strategy;organizational levels;knowledge based access control management;UML","","","","11","IEEE","27 May 2010","","","IEEE","IEEE Conferences"
"Towards a Institutional Architecture of Participation for Embedding Learner-Centric Hybrid Learning Processes","F. Garnett; N. Ecclesfield","The London Knowledge Laboratory, Institute of Education, London, UK; University of Warwick, Coventry, UK","2010 Second International Conference on Mobile, Hybrid, and On-Line Learning","15 Mar 2010","2010","","","126","129","This paper identifies and discusses a set of conceptual issues relating to institutional strategies for enabling the embedding of learner-centric hybrid learning processes within educational institutions. Starting with the Ecology of Resources model of learning, we identify ""filters"" that limit the adoption of new and hybrid learning processes in formal contexts. The related ""boundary"" issues of the Theory of Learning for the Mobile Age, are then discussed from a Learner-Generated Contexts Research Group perspective. This enables us to demonstrate that the Open Context Model of Learning could provide a framework by which a co-creation model of learning might enable learning processes, which bridge these traditional learning boundaries. We conclude by arguing that by using an Organizational Architecture of Participation we can identify system processes by which institutions can recognize and mainstream hybrid learning processes and in so doing become ""adaptive"".","","978-1-4244-5719-9","10.1109/eLmL.2010.22","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5429996","hybrid;mobile;filters;boundaries;adaptive;Learner-Generated Contexts;Open Context Model of Learning;Architecture of Participation","Context modeling;Biological system modeling;Environmental factors;Educational institutions;Bridges;Adaptive filters;Collaborative work;User-generated content;Software design;Embedded software","educational institutions;learning (artificial intelligence)","participation institutional architecture;embedding learner-centric hybrid learning processes;educational institutions;ecology of resources model;formal contexts;theory of learning;mobile age;learner-generated contexts research group;open context model;traditional learning boundaries","","","","13","IEEE","15 Mar 2010","","","IEEE","IEEE Conferences"
"Study of Industry Clusters' Learning Mechanism from a Knowledge Supply Chain Perspective","W. Qun","Research Center of Cluster and enterprise development, Business Administration School, Jiangxi University of Finance and Economics, Nanchang, China","2010 International Conference on Intelligent Computation Technology and Automation","26 Jul 2010","2010","3","","425","427","Cluster learning is an important way for enterprises to achieve innovation ability in industrial clusters. Companies are required to learn from similar enterprises, suppliers, consumers, and even to universities and research institutes in order to gain advantage in the fierce competitive market. Clusters spillover effects play important role to enhance cluster enterprises' innovation and regional competitiveness. This paper discussed the learning mechanism of enterprises in clusters from knowledge supply chain perspective.","","978-1-4244-7280-2","10.1109/ICICTA.2010.847","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5522823","Industry Cluster;Learning Mechanism;Knowledge Supply Chain","Learning systems;Supply chains;Technological innovation;Manufacturing industries;Companies;Production;Computer industry;Industrial economics;Cost function;Outsourcing","learning (artificial intelligence);pattern clustering;supply chain management","industry clusters learning mechanism;knowledge supply chain perspective;innovation ability;competitive market;clusters spillover effects;cluster enterprises;regional competitiveness","","","","5","IEEE","26 Jul 2010","","","IEEE","IEEE Conferences"
"CXR-based Diagnosis of COVID-19 using Deep Learning with CycleGAN for Data Augmentation","L. Chirilă; D. -L. Cristea; O. Baniaş","Carmen Sylva National Pedagogical College, Timisoara, Romania; Mihai Eminescu Tehnological High School, Jimbolia, Romania; Automation and Applied Informatics Department, Politehnica University of Timisoara, Timisoara, Romania","2021 International Conference on e-Health and Bioengineering (EHB)","30 Dec 2021","2021","","","1","4","A generative adversarial network called CycleGAN is used for image dataset augmentation and successfully employed in transfer learning of several popular deep neural network architectures pretrained on ImageNet, to diagnose COVID-19 based on chest X-rays. The significant performance improvement of the classifiers indicates that CycleGAN is usable in the image-based diagnosis of COVID-19 when the available dataset is small or class imbalance affects the results. Therefore, it could accelerate the development of efficient tools for a fast response in rapidlychanging pandemic conditions.","2575-5145","978-1-6654-4000-4","10.1109/EHB52898.2021.9657539","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9657539","chest X-ray classification;COVID-19;deep learning;convolutional neural networks;generative adversarial networks.","COVID-19;Deep learning;Pandemics;Neural networks;Transfer learning;Generative adversarial networks;Data models","image classification;learning (artificial intelligence);neural nets;pattern classification","available dataset;CXR-based diagnosis;COVID-19;deep learning;CycleGAN;data augmentation;generative adversarial network;image dataset augmentation;transfer learning;popular deep neural network architectures;chest X-rays;image-based diagnosis","","","","30","IEEE","30 Dec 2021","","","IEEE","IEEE Conferences"
"Towards an ontology-based approach for formalisation of expert knowledge in conformity checking model in construction","A. Yurchyshyna; C. Faron-Zucker; N. Le Thanh; A. Zarli","I3S, Sophia Antipolis, France; I3S, Sophia Antipolis, France; I3S, Sophia Antipolis, France; CSTB, Sophia Antipolis, France","2008 IEEE International Technology Management Conference (ICE)","28 Apr 2016","2008","","","1","8","This paper gives a formal ontological approach for formalisation of expert knowledge in the conformity-checking model in construction. First, we present our knowledge acquisition method aimed at the representation of all the knowledge on the reasoning process formalized with the help of the conformity-checking ontology. Based on this method, we then develop a reasoning model on the checking of the conformity of a construction project against technical norms by matching of a representation of a construction project to representations of conformity queries. In order to enrich our model with tacit expert knowledge guiding the checking process, we develop special (semi)formal expert rules based on semantic annotations of conformity queries that schedule the matching operations of the checking process and, thus, make it more effective. Finally, to validate our model, we present the C3R system and discuss its further development to integrate the context knowledge related to non-formalised construction practices.","","978-0-85358-244-1","","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7462056","Conformity checking;ontologies in construction;capitalisation of expert knowledge in Construction;formalisation of expert reasoning;Semantic Web in Construction","Ontologies;Cognition;Buildings;Knowledge acquisition;Semantics;Context;Resource description framework","civil engineering computing;construction;knowledge acquisition;ontologies (artificial intelligence)","formal ontological approach;expert knowledge formalisation;conformity-checking model;knowledge acquisition method;knowledge representation;conformity-checking ontology;construction project;conformity queries;semiformal expert rules;semantic annotations;C3R system","","","","14","","28 Apr 2016","","","IEEE","IEEE Conferences"
"A Profiling and Query Platform for Research Management Based on Knowledge Graph","K. Ma; B. Qin; H. Wang","Department of Computer Sciecne, Zhejiang University-University of Illinois at Urbana-Champaign Institute, Jiaxing, China; Department of Computer Sciecne, Zhejiang University-University of Illinois at Urbana-Champaign Institute, Jiaxing, China; Department of Computer Sciecne, Zhejiang University-University of Illinois at Urbana-Champaign Institute, Jiaxing, China","2022 IEEE 25th International Conference on Computer Supported Cooperative Work in Design (CSCWD)","20 May 2022","2022","","","822","827","Researching is a process whereby a large amount of new and unstructured knowledge is created and accumulated. In this context, the capture of complex knowledge about detailed work and decision-making issues throughout a research project is very challenging for modern researchers. Knowledge graph technology can help machines better understand complicated relationships between entities, has great potential for helping researchers with organizing and automating such kinds of repetitive works, and even uncovering and providing new insights into related topics.This paper introduces a way to construct a research management platform by providing a profiling and query system visualized as a knowledge graph. With the scope of this platform being restricted to the research field, typical ontologies are proposed on different levels. For better and more meaningful visualization, specific modifications and improvements to the traditional knowledge graph structure are discussed. A prototype system that is under construction is then described based on the above work, with the extensive applications discussed.","","978-1-6654-0527-0","10.1109/CSCWD54268.2022.9776306","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9776306","knowledge graph;research management;ontology","Visualization;Conferences;Decision making;Prototypes;Ontologies;Collaborative work","data mining;data visualisation;decision making;graph theory;ontologies (artificial intelligence);query processing","researching;unstructured knowledge;complex knowledge;detailed work;decision-making issues;research project;modern researchers;knowledge graph technology;complicated relationships;repetitive works;research management platform;query system;traditional knowledge graph structure;query platform","","","","29","IEEE","20 May 2022","","","IEEE","IEEE Conferences"
"Wind of Bamboo: A Chinese Handwriting Mingling Interactive Installation Based on Human-Ai Collaborative Font Design","Z. Zeng; J. Wang; N. He","Design School, Sichuan Fine Arts Institute; Design School, Sichuan Fine Arts Institute; Design School, Sichuan Fine Arts Institute","2022 IEEE VIS Arts Program (VISAP)","15 Dec 2022","2022","","","80","93","In the era of information, the feeling that the pen tip rubs against the paper is getting farther away, and the way of writing Chinese characters with strokes is gradually alienating. In response to this problem, this work tries to help people relive the touch of handwriting through the mingling of real and virtual experiences. The designer collaborated with AI to design a Chinese font that integrates bamboo leaves’ shape and Chinese characters’ structure. Based on the font, an interactive installation was set up to start a virtual Chinese poetry bamboo forest scene through real handwriting behavior.","2767-7028","978-1-6654-6365-2","10.1109/VISAP57411.2022.00018","Chongqing Municipal Education Commission; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9975449","Chinese Writing;Font;Human-AI Collaboration;Interactive Installation;Mingling Experience","Art;Shape;Collaboration;Forestry;Writing;Behavioral sciences;Bamboo","artificial intelligence;character sets;groupware;handwritten character recognition;virtual reality","bamboo leaf shape;Chinese characters;Chinese font;Chinese handwriting;feeling;handwriting behavior;human-AI collaborative font design;interactive installation;pen tip rubs;virtual Chinese poetry;virtual experiences","","","","16","IEEE","15 Dec 2022","","","IEEE","IEEE Conferences"
"Understanding concerns with ontologies","C. Bogdan; L. Dan Serbanati; D. Shishmanian","Ovidius University, Constanta, Romania; Politehnica University, Bucharest, Romania; Capgemini France, Neuilly-sur-Marne, France","2008 IEEE International Technology Management Conference (ICE)","28 Apr 2016","2008","","","1","8","Concern orientation gives us methodological tools for managing the system complexity. Separation of concerns in the aspect oriented software development (AOSD) allows architects to structure and developers to better manage complex systems by mapping the whole system in a multi-concern space and focusing one problem at a time. Certainly, there is a lot of confusion in AOSD about what a concern is. In this context, we defined as more precisely as possible the concern concept in information engineering. From our point of view, a concern is a care of one or more stakeholders involved in the construction or evolution of an information system in its natural environment. In order to make accurate the meaning of the concern concept, in this paper we introduce CONO (CONcerns Ontology), an ontology of the concern concept, which formally describes its meaning as we gave in our definition. Each concern might be described by its high-level specification that is a description formed by the problem specification of the concern and the roles of the stakeholders, which have that concern. The concepts from the high-level specifications constitute the stakeholders' vocabulary and can be used in the construction of an ontology of the new information system.","","978-0-85358-244-1","","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7462064","Information systems;modeling;taxonomy;ontology","Stakeholders;Ontologies;Information systems;Organizations;Production;Context;Taxonomy","aspect-oriented programming;formal specification;information systems;ontologies (artificial intelligence)","ontologies;system complexity management;aspect oriented software development;AOSD;information engineering;information system;CONO;concerns ontology;high-level specification","","","","16","","28 Apr 2016","","","IEEE","IEEE Conferences"
"A conceptual approach to support through-life business transformation in an aerospace and defence context","H. Dogan; M. Henshaw","Systems Engineering, Loughborough University, Leicestershire, UK; Systems Engineering, Loughborough University, Leicestershire, UK","2010 5th International Conference on System of Systems Engineering","9 Aug 2010","2010","","","1","6","Through Life Capability Management (TLCM) is a complex evolving domain that requires a new approach to better understand the different viewpoints, models and practices within various enterprises to support a future conceptual model development. This research applied Soft Systems Methodology (SSM) to identify the activities necessary to transform an existing aerospace and defence business model to one that would support TLCM. Semi-structured interviews were conducted with experts and stakeholders across a range of different relevant functions and organisations to identify the activities required to support conceptual model development. A bottom-up approach was used to provide a TLCM ontology and a top-down approach was proposed to develop the root definitions derived from the experts' perception of TLCM. The benefits and drawbacks of using SSM including the human-activity system and mapping the activities onto a TLCM cube (architectural) model are discussed.","","978-1-4244-8196-5","10.1109/SYSOSE.2010.5544058","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5544058","TLCM;Capability;Soft Systems;Human Activity Model;Ontology","Ontologies;Systems engineering and theory;Context modeling;Humans;Aerospace engineering;Conference management;Engineering management;Environmental management;Visualization;Manufacturing","aerospace engineering;military computing;ontologies (artificial intelligence)","through-life business transformation;through life capability management;aerospace context;defence context;conceptual model development;soft systems methodology;bottom-up approach;TLCM ontology;top-down approach","","","","14","IEEE","9 Aug 2010","","","IEEE","IEEE Conferences"
"Multi-Agent Cooperative Design Support in Distributed Environments","C. Chira; D. Dumitrescu","Department of Computer Science, Babes Bolyai University, Romania; Department of Computer Science, Babes Bolyai University, Romania","27th International Conference on Distributed Computing Systems Workshops (ICDCSW'07)","30 Jul 2007","2007","","","76","76","The paper addresses system modelling and engineering in cooperative distributed environments. Multi-agent systems, ontologies and web technologies are used for the support and management of resources in a distributed virtual environment. Distributed design involves dispersed heterogeneous teams of people who have to establish and maintain an efficient cooperation process in order to reach global 'optimal' solutions to various problems. Key needs addressed by the introduced multi-agent system refer to inter operation among distributed resources and knowledge sharing, reuse and integration. An ontology library creates a common shared understanding of the domain for inter operating agents. The proposed system employs agents for information storage and retrieval, for enhancing collaboration within a distributed design environment and for providing a suitable interface to the user. The agents offer content-related support to the user by committing to the same library of ontologies. The proposed multi-agent design information management system aims to facilitate the optimization of the solution space of the collective dispersed design team.","1545-0678","0-7695-2838-4","10.1109/ICDCSW.2007.106","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4279082","Multi-Agent Systems;Ontologies;Cooperative Distributed;Systems;Distributed Design.","Ontologies;Multiagent systems;Libraries;Maintenance engineering;Systems engineering and theory;Environmental management;Resource management;Technology management;Virtual environment;Information retrieval","groupware;information retrieval;information storage;multi-agent systems;ontologies (artificial intelligence);Web services","multiagent cooperative design support;multiagent systems;Web technologies;resource management;distributed virtual environment;distributed resources;knowledge sharing;ontology library;interoperating agents;information storage;information retrieval;information management system;collective dispersed design team","","","","16","IEEE","30 Jul 2007","","","IEEE","IEEE Conferences"
"On the use of collaborative intelligence in an agent-based environmental monitoring and analysis system","M. Oprea; E. Dragomir; M. Cărbureanu","Department of Informatics, University Petroleum-Gas of Ploiesti, Ploiesti, Romania; Department of Informatics, University Petroleum-Gas of Ploiesti, Ploiesti, Romania; Department of Informatics, University Petroleum-Gas of Ploiesti, Ploiesti, Romania","15th International Conference on System Theory, Control and Computing","28 Nov 2011","2011","","","1","6","The paper introduces the architecture of a multiagent system for environmental monitoring and analysis, and focuses on the use of collaborative intelligence between the environmental agents (the agents that monitor and analyze the evolution of specific environment pollutants concentrations in different locations) and meteorological agents (that provide information about all meteorological parameters that can influence the degree of environmental pollution: temperature, speed of wind, humidity etc). The collaboration between agents is facilitated by asynchronous messaging and a common ontology (that is shared by all agents, environmental and meteorological). Some experimental results obtained for different scenarios of the multi-agent system simulation are also discussed in this paper.","","978-973-621-321-2","","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6085665","","Monitoring;Collaboration;Air pollution;Multiagent systems;Ontologies;Databases","environmental monitoring (geophysics);environmental science computing;groupware;message passing;meteorology;multi-agent systems;ontologies (artificial intelligence);software architecture","collaborative intelligence;agent-based environmental monitoring;agent-based environmental analysis system;multiagent system architecture;environmental agents;environment pollutants concentrations;meteorological agents;meteorological parameters;environmental pollution;temperature;wind speed;humidity;asynchronous messaging;ontology;multiagent system simulation","","","","26","","28 Nov 2011","","","IEEE","IEEE Conferences"
"An Ontospatial Representation of Writing Narratives in Hybrid Ecosystem","K. Pata","Centre of Educational Technology, Institute of Informatics, Tallinn University, Tallinn, Estonia","2010 Workshops on Database and Expert Systems Applications","30 Sep 2010","2010","","","87","91","This paper discusses narrative behaviors in hybrid ecosystem using the dynamic ontospatial method. It is proposed that using ontospatial representation of hybrid ecosystem, the individuals may be provided with the means of enacting with this hybrid ecosystem in more efficient ways, for example co-constructing narratives and acting upon them. The approach is illustrated with a dataset collected from a postgraduate course using the Ontospace Explorer tool.","2378-3915","978-1-4244-8049-4","10.1109/DEXA.2010.37","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5592015","dynamic ontospace;hybrid ecosystem","Ecosystems;Communities;Mediation;Trajectory;Software;Prototypes","ecology;environmental science computing;interactive systems;ontologies (artificial intelligence)","ontospatial representation;narrative writing;hybrid ecosystem;narrative behavior;dynamic ontospatial method","","","","25","IEEE","30 Sep 2010","","","IEEE","IEEE Conferences"
"Empirical approach in ontology engineering: An assessment on novice modelers","N. A. Osman; S. -B. Ho; S. -C. Haw","Faculty of Information Technology, Multimedia University, Cyberjaya, Selangor, Malavyia; Faculty of Information Technology, Multimedia University, Cyberjaya, Selangor, Malavyia; Faculty of Information Technology, Multimedia University, Cyberjaya, Selangor, Malavyia","2011 Malaysian Conference in Software Engineering","26 Jan 2012","2011","","","501","507","In software engineering, one of the process improvement methods is through empirical studies. We compare several empirical studies on ontology engineering to discuss potential empirical works on our domain of interest, namely the learning process improvement. Subsequently, we conduct an assessment on novice modelers to determine the effects of ontology on subjects' learning process. The p-values indicate that there is a significant difference between the group that is provided with ontology (ontology group) and the group that is not (control group). Furthermore, the mean scores for comprehensiveness and confidence in the ontology group are slightly higher than in the control group. We conclude that the use of ontology may positively contribute to the learning process especially with the learners involved in the ontology engineering process.","","978-1-4577-1531-0","10.1109/MySEC.2011.6140724","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6140724","ontology;ontology engineering;empirical software engineering;learning process improvement","Ontologies;Software engineering;Biomedical measurements;Databases;Complexity theory","ontologies (artificial intelligence);software process improvement","ontology engineering;software engineering;process improvement method;learning process improvement;ontology group","","","","15","IEEE","26 Jan 2012","","","IEEE","IEEE Conferences"
"Hypermedia for Portable Video Players (PVP)","M. Leggett; S. Amitani","Creativity & Cognition Studios, Faculty of Information Technology, University of Technology, Sydney, Australia; Creativity & Cognition Studios, Faculty of Information Technology, University of Technology, Sydney, Australia","International Conference on Computer Graphics, Imaging and Visualisation (CGIV'06)","14 Aug 2006","2006","","","440","447","In this paper we propose the exploitation of high mobility portable battery operated Video Players (PVP) for the retrieval of video associated with the location in which it may be used. Reporting on an earlier interactive multimedia location-based prototype, we assess the possibilities for specific ontologies of a taxonomy of indexing procedure which avoids text-based retrieval methods, using instead the mnemonics of image association. We outline the proposed development of PVP firmware and a related user application enabling users to construct indexing procedures appropriate to their needs, using a metadesign approach,.","","0-7695-2606-3","10.1109/CGIV.2006.55","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1663830","hypermedia;video;video player;authoring","Portable media players;Motion pictures;Indexing;Navigation;Taxonomy;Prototypes;Proposals;Cultural differences;Web page design;Cognition","authoring systems;firmware;hypermedia;indexing;mobile computing;ontologies (artificial intelligence);video retrieval","hypermedia;video;video player;authoring","","","","18","IEEE","14 Aug 2006","","","IEEE","IEEE Conferences"
"Research on service planning of distributed heterogeneous design resources","N. Wan; Z. -y. Chang; R. Mo","The Key Laboratory of Contemporary Design and Integrated Manufacturing Technology, Northwestern Polytechnical University, Xi'an, China; The Key Laboratory of Contemporary Design and Integrated Manufacturing Technology, Northwestern Polytechnical University, Xi'an, China; The Key Laboratory of Contemporary Design and Integrated Manufacturing Technology, Northwestern Polytechnical University, Xi'an, China","Proceedings of the 2012 IEEE 16th International Conference on Computer Supported Cooperative Work in Design (CSCWD)","21 Jun 2012","2012","","","527","532","The composition and reuse of distributed design resources is the key issue in collaborative operation of complicated products. In the first place, a collaborative service framework aiding design resources reuse is established to help encapsulate reusable resources. Meanwhile, to realize interoperability between function and data of heterogeneous resources, shared ontology and private ontology are separately built for different design disciplines and tool resources within the disciplines. Then, collaborative service planning is divided into different stages. And generating algorithm serving planning program is proposed to obtain feasible program collection of service composition. Finally, taking design of aero engine compressor as an example, the effectiveness of collaborative service planning algorithm is verified by providing an atomic service ontology instance.","","978-1-4673-1212-7","10.1109/CSCWD.2012.6221868","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6221868","collaborative service;service composition;service planning","Planning;Monitoring;Collaboration;Arrays","groupware;ontologies (artificial intelligence);open systems;planning;product design;production engineering computing","distributed heterogeneous design resources;complicated products collaborative operation;collaborative service framework;interoperability;shared ontology;private ontology;collaborative service planning;generating algorithm serving planning program;service composition program collection;aero engine compressor design","","","","14","IEEE","21 Jun 2012","","","IEEE","IEEE Conferences"
"Ontology-based information integration framework for mechatronics system multi-disciplinary design","Luyan Bi; Zongxia Jiao; Shengtao Fan","School of Automation Science and Electrical Engineering, Beihang University, China; School of Automation Science and Electrical Engineering, Beihang University, China; School of Automation Science and Electrical Engineering, Beihang University, China","2008 6th IEEE International Conference on Industrial Informatics","3 Sep 2008","2008","","","831","836","In order to meet the information integration requirement of mechatronics system multi-disciplinary design tools, an ontology-based information integration framework is proposed. This developed integration framework adopts component-based architecture which facilitates the design and simulation applications plug-and-play in the framework Mechatronics System Ontology (MSO) is defined and the standard application component interfaces are specified. MSO includes all the major objects as well as the relationships of the objects in the process of mechatronics systems design and standard component interfaces provide applications a standard way to exchange information based on MSO.","2378-363X","978-1-4244-2170-1","10.1109/INDIN.2008.4618217","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4618217","information integration;component interfaces;multi-disciplinary design;ontology","","design;mechanical engineering computing;mechatronics;ontologies (artificial intelligence)","ontology-based information integration;mechatronics system multidisciplinary design;component-based architecture;mechatronics system ontology;component interfaces;mechatronics systems design;information integration;multidisciplinary design","","","","20","IEEE","3 Sep 2008","","","IEEE","IEEE Conferences"
"Immersive 4D Intelligent Interactive Platform Based on Deep Learning","H. Yonghao; Y. Qi; W. Xiaofang","Chengdu University of Electronic Science and Technology of China, Chengdu, China; Chengdu University of Electronic Science and Technology of China, Chengdu, China; Chengdu University of Electronic Science and Technology of China, Chengdu, China","2021 18th International Computer Conference on Wavelet Active Media Technology and Information Processing (ICCWAMTIP)","19 Jan 2022","2021","","","264","267","With the advent of the Internet era, the cost of realizing virtual characters has been greatly reduced. The high cost and low efficiency exhibited by traditional virtual technology can't meet social needs. People are seeking fast, convenient and accurate virtual character reproduction technology. Through researching the characteristics of the characters appearance, language habits, voice tone and so on, the research direction of this paper is to simulate and reshape voice and images, construct a cloud platform-based on user-side and client-side, and integrate deep learning, natural language processing, digital twins and other technologies to an immersive 4D intelligent interactive platform. The platform under in the form of application software provides integrated services of intelligent voice interaction and virtual character interaction. In the industrial diagnosis mode, the transition from traditional video retention and voice retention to a new intelligent voice recognition and simulation mode is realized.","2576-8964","978-1-6654-1364-0","10.1109/ICCWAMTIP53232.2021.9674087","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9674087","Deep learning;Digital twin;Voice interaction;VR technology","Deep learning;Costs;Digital twin;Imaging;Speech recognition;Information processing;Immersive experience","cloud computing;Internet;learning (artificial intelligence);natural language processing;project management;virtual reality;virtualisation","immersive 4D intelligent interactive platform;deep learning;Internet era;virtual characters;traditional virtual technology;convenient character reproduction technology;accurate virtual character reproduction technology;characters appearance;voice tone;cloud platform-based;natural language processing;intelligent voice interaction;virtual character interaction;traditional video retention;voice retention;intelligent voice recognition;simulation mode","","","","5","IEEE","19 Jan 2022","","","IEEE","IEEE Conferences"
"Research on the framework based on web service and ontology for sharing parts library in virtual enterprise","Y. Dong; Q. Li; L. Cui","School of Computer Science and Technology, Xuzhou Normal University, Xuzhou, P.R. China; School of Computer Computer Science and Technology, Shandong University, Jinan, P.R. China; School of Computer Computer Science and Technology, Shandong University, Jinan, P.R. China","2007 11th International Conference on Computer Supported Cooperative Work in Design","30 Jul 2007","2007","","","900","903","Virtual enterprise has been a topic of increasing interests in recent years meanwhile parts library sharing among participant enterprises has become a challenge. This paper analyzes its two demands. one is dynamic and open; the other is the share of domain knowledge. Based on these requirements, it proposes a framework for sharing parts library in virtual enterprise. The framework uses web service technologies to implement the first requirement and ontology technologies to achieve the second one. The analysis indicates that it can improve the flexibility and maintainability of the share of parts library among collaborating members and facilitate the rapid development of product to meet the market demands. At last, an example of parts library description in OWL is given.","","1-4244-0962-4","10.1109/CSCWD.2007.4281556","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4281556","Parts Library;Virtual Enterprise;Web Service;Ontology","Web services;Ontologies;Libraries;Virtual enterprises;Collaborative work;Collaboration;Computer science;Product design;XML;OWL","libraries;ontologies (artificial intelligence);virtual enterprises;Web services","Web service;ontology;virtual enterprise;parts library","","","","10","IEEE","30 Jul 2007","","","IEEE","IEEE Conferences"
"Constructing federate collaboration ontology by UML profiles","Y. Liu; H. Sun; T. Xiao; W. Fan","Department of Automation, Tsinghua University, Beijing, China; Department of Automation, Tsinghua University, Beijing, China; Department of Automation, Tsinghua University, Beijing, China; Department of Automation, Tsinghua University, Beijing, China","Proceedings of the 2013 IEEE 17th International Conference on Computer Supported Cooperative Work in Design (CSCWD)","15 Aug 2013","2013","","","411","416","In HLA (High Level Architecture) federation development and execution process, the construction of simulation object model that is an important basis for future collaborations is missed. This paper presents an UML profile based federate collaboration ontology constructing method to support collaboration ontology based federation development and execution process. Comparing with formal concept analysis, the proposed method can construct federate collaboration ontology (which is corresponding to simulation object model in HLA) in a more effective and consistent way. The proposed approach has great potential to improve efficiency of collaboration ontology based federated collaboration executions, reduce the work load of existing platforms, and enhance the applicability and flexibility of such kind of collaborative product development systems.","","978-1-4673-6085-2","10.1109/CSCWD.2013.6580998","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6580998","HLA;Collaboration Ontology;FEDEP-Federation Development and Execution Process;UML-Unified Modeling Language;Collaborative product development","Collaboration;Unified modeling language;Ontologies;Solid modeling;Product development;Computational modeling;Semantics","formal concept analysis;ontologies (artificial intelligence);software architecture;Unified Modeling Language","constructing federate collaboration ontology;UML profiles;high level architecture;HLA;execution process;federation development;formal concept analysis","","","","16","IEEE","15 Aug 2013","","","IEEE","IEEE Conferences"
"A classifier module for analyzing community responses on disaster preparedness","A. De La Cruz; N. Oco; R. E. Roxas","National University, Manila, Philippines; National University, Manila, Philippines; National University, Manila, Philippines","2017IEEE 9th International Conference on Humanoid, Nanotechnology, Information Technology, Communication and Control, Environment and Management (HNICEM)","25 Jan 2018","2017","","","1","5","In this paper, we implemented, trained, and evaluated a module to automatically classify community responses of respondents of an e-participation toolkit on disaster preparedness. Responses were automatically classified into 10 different categories, which were derived from a codebook created for the content analysis of the responses. Results show that most responses were classified in the category Local Government Unit (LGU) accountability. The classifier achieved a 93.3% mean accuracy with ten-fold cross validation. This analysis shows that the created classifier module can successfully decode responses and can be further improved by applying multi-label classification. However, the classifier achieved 63.8% agreement with the manual coding, and a revision of the code book may be deemed necessary as a future work. The application of pre-processors such as spelling checkers can also be considered.","","978-1-5386-0912-5","10.1109/HNICEM.2017.8269532","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8269532","multiclass classification;TF-IDF;support vector machines;disaster responses;e-participation","Support vector machines;Training;Tools;Local government;Decision making;Hazards","classification;disasters;emergency management;government data processing;learning (artificial intelligence);pattern classification;public administration","disaster preparedness;e-participation toolkit;content analysis;supervised learning;multi-label classification;Local Government Unit accountability;community response classification;classifier module","","","","30","IEEE","25 Jan 2018","","","IEEE","IEEE Conferences"
